Date,Close
1/2/24,75.7
1/3/24,77.33
1/4/24,76.015
1/5/24,78.75
1/8/24,75.825
1/9/24,78.905
1/10/24,78.74
1/11/24,80.575
1/12/24,80.105
1/15/24,79.55
1/16/24,79.885
1/17/24,79.47
1/18/24,80.94
1/19/24,81.19
1/22/24,82.165
1/23/24,82.29
1/24/24,82.13
1/25/24,83.18
1/26/24,83.37
1/29/24,83.985
1/30/24,84.105
1/31/24,82.78
2/1/24,83.315
2/2/24,79.08
2/5/24,79.23
2/6/24,80.905
2/7/24,81.69
2/8/24,84.475
2/9/24,84.75
2/12/24,84.615
2/13/24,86
2/14/24,85.045
2/15/24,85.535
2/16/24,86.12
2/19/24,86.51
2/20/24,84.89
2/21/24,85.445
2/22/24,85.52
2/23/24,83.715
2/26/24,83.205
2/27/24,84.14
2/28/24,83.685
2/29/24,84.6
3/1/24,87.495
3/4/24,86.265
3/5/24,85.36
3/6/24,86.405
3/7/24,84.915
3/8/24,83.62
3/11/24,83.795
3/12/24,83.23
3/13/24,84.265
3/14/24,85.55
3/15/24,85.365
3/18/24,86.235
3/19/24,87.235
3/20/24,85.545
3/21/24,85.175
3/22/24,84.895
3/25/24,86.365
3/26/24,86
3/27/24,85.09
3/28/24,86.885
4/1/24,0
4/2/24,89.95
4/3/24,91.105
4/4/24,90.435
4/5/24,93.305
4/8/24,92.2
4/9/24,91.93
4/10/24,91.19
4/11/24,91.81
4/12/24,93.345
4/15/24,90.525
4/16/24,91.29
4/17/24,89.66
4/18/24,88.09
4/19/24,88.02
4/22/24,87.555
4/23/24,88.73
4/24/24,88.9
4/25/24,88.35
4/26/24,89.935
4/29/24,88.86
4/30/24,87.97
5/1/24,84.92
5/2/24,83.93
5/3/24,83.3
5/6/24,0
5/7/24,82.11
5/8/24,83.32
5/9/24,83.445
5/10/24,83.075
5/13/24,82.115
5/14/24,80.56
5/15/24,81.45
5/16/24,81.825
5/17/24,82.44
5/20/24,82.33
5/21/24,81.5
5/22/24,80.725
5/23/24,79.72
5/24/24,80.005
5/27/24,0
5/28/24,82.52
5/29/24,82.345
5/30/24,81.19
5/31/24,80.18
6/3/24,76.77
6/4/24,76.05
6/5/24,75.92
6/6/24,78.54
6/7/24,78.315
6/10/24,80.005
6/11/24,80.74
6/12/24,81.245
6/13/24,81.64
6/14/24,81.73
6/17/24,83.36
6/18/24,85.28
6/19/24,86.185
6/20/24,86.115
6/21/24,87.015
6/24/24,87.115
6/25/24,86.775
6/26/24,85.27
6/27/24,87.255
6/28/24,86.83
7/1/24,88.01
7/2/24,88.59
7/3/24,87.68
7/4/24,88.96
7/5/24,89.095
7/8/24,87.73
7/9/24,86.095
7/10/24,87.075
7/11/24,87.315
7/12/24,87.715
7/15/24,86.67
7/16/24,85.63
7/17/24,86.2
7/18/24,86.49
7/19/24,85.275
7/22/24,83.065
7/23/24,82.09
7/24/24,82.995
7/25/24,82.655
7/26/24,81.245
7/29/24,80.865
7/30/24,79.14
7/31/24,81.45
8/1/24,81.825
8/2/24,78.265
8/5/24,76.7
8/6/24,76.275
8/7/24,79.91
8/8/24,81.1
8/9/24,81.615
8/12/24,83.31
8/13/24,83.295
8/14/24,82.895
8/15/24,84.17
8/16/24,82.245
8/19/24,81.755
8/20/24,79.495
8/21/24,79.665
8/22/24,79.625
8/23/24,81.065
8/26/24,0
8/27/24,82.35
8/28/24,81.065
8/29/24,82.425
8/30/24,79.985
9/2/24,79.62
9/3/24,75.83
9/4/24,75.225
9/5/24,75.04
9/6/24,73.025
9/9/24,72.125
9/10/24,70.56
9/11/24,71.075
9/12/24,74.55
9/13/24,73.995
9/16/24,73.865
9/17/24,74.715
9/18/24,75.08
9/19/24,76.58
9/20/24,76.01
9/23/24,75.17
9/24/24,75.82
9/25/24,75.265
9/26/24,72.5
9/27/24,71.975
9/30/24,72.895
10/1/24,75.38
10/2/24,74.775
10/3/24,77.945
10/4/24,79.39
10/7/24,81.2
10/8/24,77.845
10/9/24,77.665
10/10/24,79.335
10/11/24,80.145
10/14/24,77.81
10/15/24,73.525
10/16/24,73.94
10/17/24,74.075
10/18/24,72.55
10/21/24,73.57
10/22/24,75.77
10/23/24,74.74
10/24/24,74.515
10/25/24,75.835
10/28/24,72.2
10/29/24,71.4
10/30/24,73.185
10/31/24,73.355
11/1/24,74.165
11/4/24,75.57
11/5/24,76.94
11/6/24,76.115
11/7/24,75.64
11/8/24,74.065
11/11/24,72.37
11/12/24,72.915
11/13/24,73.555
11/14/24,73.67
11/15/24,73.49
11/18/24,74.535
11/19/24,74.05
11/20/24,74.52
11/21/24,75.21
11/22/24,76.115
11/25/24,74.29
11/26/24,74.585
11/27/24,73.93
11/28/24,73.865
11/29/24,74.31
12/2/24,73.05
12/3/24,75.02
12/4/24,74.94
12/5/24,73.885
12/6/24,72.74
12/9/24,73.76
12/10/24,73.895
12/11/24,74.32
12/12/24,73.61
12/13/24,75.085
12/16/24,74.74
12/17/24,73.68
12/18/24,74.995
12/19/24,73.715
12/20/24,73.54
12/23/24,71.92
12/24/24,73.165
12/26/24,0
12/27/24,74.09
12/30/24,74.08
12/31/24,74.645